Address  Disassembly                                     String                                                                                                                                                                                                                                                                                   
772900C7 push ntdll.772900D5                             "[Pj"
773058DB push ntdll.772A81F8                             "RtlpResolveAssemblyStorageMapEntry"
773058E0 push ntdll.772A815C                             "SXS: %s() bad parameters\nSXS:   Map                : %p\nSXS:   Data               : %p\nSXS:   AssemblyRosterIndex: 0x%lx\nSXS:   Map->AssemblyCount : 0x%lx\n"
7730591B push ntdll.772A864E                             "RtlGetAssemblyStorageRoot"
77305920 push ntdll.772A80F6                             "SXS: %s() passed the empty activation context\n"
7730593B push ntdll.772A85CA                             "SXS: RtlGetAssemblyStorageRoot() unable to get activation context data, storage map and assembly roster header.  Status = 0x%08lx\n"
77305944 push ntdll.772A864E                             "RtlGetAssemblyStorageRoot"
77305949 push ntdll.772A856A                             "SXS: %s() bad parameters AssemblyRosterIndex 0x%lx >= AssemblyRosterHeader->EntryCount: 0x%lx\n"
7730595C push ntdll.772A8510                             "SXS: RtlGetAssemblyStorageRoot() unable to resolve storage map entry.  Status = 0x%08lx\n"
77305977 push ntdll.772A864E                             "RtlGetAssemblyStorageRoot"
7730597C push ntdll.772A846E                             "SXS: %s() bad parameters:\nSXS:    Flags              : 0x%lx\nSXS:    AssemblyRosterIndex: 0x%lx\nSXS:    AssemblyStorageRoot: %p\nSXS:    Callback           : %p\n"
77306841 push ntdll.772A86EC                             "LdrpLoadResourceFromAlternativeModule"
77306846 push ntdll.772A86BC                             "'LDR: %s(), invalid image format of MUI file \n"
77306F80 push ntdll.772A8892                             L"\\??\\"
77307077 push ntdll.772A8874                             L"FilterFullPath"
77307F99 push ntdll.772A8E12                             L"0x"
77309465 push ntdll.772A8E22                             L"#%u"
7730963D push ntdll.772A8E70                             "HEAP[%wZ]: "
7730964A push ntdll.772A8E68                             "HEAP: "
77309655 push ntdll.772A8E7C                             "((PHEAP_ENTRY)LastKnownEntry <= Entry)"
77309699 push ntdll.772A8E70                             "HEAP[%wZ]: "
773096A6 push ntdll.772A8E68                             "HEAP: "
773096B1 push ntdll.772A8EA4                             "(UCRBlock->Size >= *Size)"
773098F0 push ntdll.772A8E70                             "HEAP[%wZ]: "
773098FD push ntdll.772A8E68                             "HEAP: "
77309910 push ntdll.772A8FB0                             "RtlpHeapFreeVirtualMemory failed %lx for heap %p (base %p, size %x)\n"
773099D7 push ntdll.772A8E70                             "HEAP[%wZ]: "
773099E4 push ntdll.772A8E68                             "HEAP: "
773099F7 push ntdll.772A8FF6                             "ZwAllocateVirtualMemory failed %lx for heap %p (base %p, size %p)\n"
77309A82 push ntdll.772A8E70                             "HEAP[%wZ]: "
77309A8F push ntdll.772A8E68                             "HEAP: "
77309A9A push ntdll.772A903A                             "(HeapHandle != NULL)"
77309D8B push ntdll.772A8E70                             "HEAP[%wZ]: "
77309D98 push ntdll.772A8E68                             "HEAP: "
77309DA3 push ntdll.772A9096                             "(UCRBlock != NULL)"
77309DF7 push ntdll.772A8E70                             "HEAP[%wZ]: "
77309E8D push ntdll.772A8E70                             "HEAP[%wZ]: "
77309E9A push ntdll.772A8E68                             "HEAP: "
77309EA5 push ntdll.772A907A                             "((LONG)FreeEntry->Size > 1)"
77309F99 push ntdll.772A8E70                             "HEAP[%wZ]: "
77309FA6 push ntdll.772A8E68                             "HEAP: "
77309FB1 push ntdll.772A9060                             "(LONG)FreeEntry->Size > 1"
7730A051 push ntdll.772A8E68                             "HEAP: "
7730A05C push ntdll.772A9050                             "(!TrailingUCR)"
7730A23C push ntdll.772A8E70                             "HEAP[%wZ]: "
7730A249 push ntdll.772A8E68                             "HEAP: "
7730A25D push ntdll.772A8E2A                             "HEAP: Free Heap block %lx modified at %lx after it was freed\n"
7730A2EF push ntdll.772A8E70                             "HEAP[%wZ]: "
7730A2FC push ntdll.772A8E68                             "HEAP: "
7730A310 push ntdll.772A8E2A                             "HEAP: Free Heap block %lx modified at %lx after it was freed\n"
7730A517 push ntdll.772A8E70                             "HEAP[%wZ]: "
7730A524 push ntdll.772A8E68                             "HEAP: "
7730A538 push ntdll.772A8E2A                             "HEAP: Free Heap block %lx modified at %lx after it was freed\n"
7730A5C9 push ntdll.772A8E70                             "HEAP[%wZ]: "
7730A5D6 push ntdll.772A8E68                             "HEAP: "
7730A5EA push ntdll.772A8E2A                             "HEAP: Free Heap block %lx modified at %lx after it was freed\n"
7730A762 push ntdll.772A8E70                             "HEAP[%wZ]: "
7730A76F push ntdll.772A8E68                             "HEAP: "
7730A783 push ntdll.772A8E2A                             "HEAP: Free Heap block %lx modified at %lx after it was freed\n"
7730AF8C push ntdll.772A8E70                             "HEAP[%wZ]: "
7730AF99 push ntdll.772A8E68                             "HEAP: "
7730AFB0 push ntdll.772A8E2A                             "HEAP: Free Heap block %lx modified at %lx after it was freed\n"
7730BF33 push dword ptr ds:[772F4E9C]                    &L"\\Registry\\User\\.Default"
7730C490 push ntdll.772A91A0                             "RtlQueryRegistryValues: Miscomputed buffer size at line %d\n"
7730C589 push ntdll.772A91A0                             "RtlQueryRegistryValues: Miscomputed buffer size at line %d\n"
7730C5D6 mov dword ptr ss:[ebp-6C],ntdll.7731E628        L"TimeZoneKeyName"
7730C5E0 mov dword ptr ss:[ebp-50],ntdll.7731E648        L"DynamicDaylightTimeDisabled"
7730C8D8 mov eax,dword ptr ds:[7738208C]                 &"?\f"
7730D120 push ntdll.772A9618                             "*** ASSERT FAILED: Input parameter LanguagesBuffer for function RtlSetThreadPreferredUILanguages is not a valid multi-string!\n"
7730D16F push dword ptr ds:[7738208C]                    &"?\f"
7730D4FF push ntdll.772A8E70                             "HEAP[%wZ]: "
7730D50C push ntdll.772A8E68                             "HEAP: "
7730D518 push ntdll.772A98C4                             "Invalid heap signature for heap at %x"
7730D52D push ntdll.772A98B4                             ", passed to %s"
7730D6A7 push ntdll.772A9904                             L"GlobalTags"
7730D924 push ntdll.772A8E70                             "HEAP[%wZ]: "
7730D931 push ntdll.772A8E68                             "HEAP: "
7730D945 push ntdll.772A8E2A                             "HEAP: Free Heap block %lx modified at %lx after it was freed\n"
7730DEFA push ntdll.772A8E70                             "HEAP[%wZ]: "
7730DF07 push ntdll.772A8E68                             "HEAP: "
7730DF1B push ntdll.772A992A                             "Unable to release memory at %p for %p bytes - Status == %x\n"
7730EAC6 mov ebx,ntdll.772A8E70                          "HEAP[%wZ]: "
7730EAEC push ntdll.772A8E68                             "HEAP: "
7730EAF7 push ntdll.772A9B42                             "Inspecting leaks at process shutdown ...\n"
7730EB7D push ntdll.772A8E68                             "HEAP: "
7730EB8E push ntdll.772A9B2C                             "%ld leaks detected.\n"
7730EBC7 push ntdll.772A8E68                             "HEAP: "
7730EBD2 push ntdll.772A9B18                             "No leaks detected.\n"
7730EC36 mov ecx,ntdll.772A9BAC                          "ffff:"
7730EC52 push ntdll.772A9C42                             L"::%hs%u.%u.%u.%u"
7730EC9B push ntdll.772A9C18                             L"::ffff:0:%u.%u.%u.%u"
7730ECDF push ntdll.772A9BEE                             L":%u.%u.%u.%u"
7730ED32 push ntdll.772A9C64                             L"]:%u"
7730ED69 push ntdll.772A9C94                             L":%u"
7730F7E0 mov ecx,ntdll.772A9CF6                          L"%s"
7730F824 push ntdll.772A9CE4                             L"%%%u!%s!"
7730F867 push ntdll.772A9CDE                             L"hc"
7730F890 push ntdll.772A9CD8                             L"hs"
7730FB74 push ntdll.772A9D60                             "RTL: RtlNtStatusToDosError(0x%lx): No Valid Win32 Error Mapping\n"
7730FB7E push ntdll.772A9D2C                             "RTL: Edit ntos\\rtl\\generr.c to correct the problem\n"
7730FB88 push ntdll.772A9CFC                             "RTL: ERROR_MR_MID_NOT_FOUND is being returned\n"
7730FCD0 push ntdll.772A9EC4                             L"en"
7730FCE5 push ntdll.772A9EB8                             L"en-US"
7730FD9F mov ebx,ntdll.7730FDE0                          L"en-US"
7730FDA4 push ntdll.772A9EC4                             L"en"
7730FDB5 mov ebx,ntdll.7730FDE0                          L"en-US"
77310000 push ntdll.772A9F12                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\ProductOptions"
77310015 push ntdll.772A9EFA                             L"ProductType"
773100C3 push ntdll.772A9EEE                             L"WinNt"
773100D1 push ntdll.772A9EDC                             L"LanmanNt"
773100DF push ntdll.772A9ECA                             L"ServerNt"
77311F25 mov edi,dword ptr ds:[7738208C]                 &"?\f"
77312768 mov eax,ntdll.772A9484                          L"PreferredUILanguagesPending"
773127C2 push ntdll.772AAA70                             "*** RtlpMuiRegLoadLicInformation failed with status %x"
77312950 push ntdll.772A8E70                             "HEAP[%wZ]: "
7731299A push ntdll.772A8E68                             "HEAP: "
773129AD push ntdll.772AB51E                             "Invalid address specified to %s( %p, %p )\n"
77312BCE push ntdll.772AB958                             "Enabling heap debug options\n"
77312FA9 push ntdll.772A8E70                             "HEAP[%wZ]: "
77312FB6 push ntdll.772A8E68                             "HEAP: "
77312FC1 push ntdll.772AB976                             "RtlpGetBitState(LookupTable, (ULONG)(LookupIndex - LookupTable->BaseIndex))"
77313027 push ntdll.772A8E70                             "HEAP[%wZ]: "
77313034 push ntdll.772A8E68                             "HEAP: "
7731303F push ntdll.772AB9C2                             "(ROUND_UP_TO_POWER2(Size, PAGE_SIZE) == Size)"
773144B4 mov edi,ntdll.772E49EC                          "TppAlpcpExecuteCallback"
773144B9 push ntdll.77314674                             "Instance = %p, Alpc = %p\n"
773144F8 push ntdll.77314648                             "Unable to reference Alpc %p's dll at %p\n"
77314589 mov edi,ntdll.772E49EC                          "TppAlpcpExecuteCallback"
